metric,cell_id,annotation,num_spots,gene,num_gene_spots,score,variance,experiment,sample
periph,29383917219665387310586228166123642441,L6_CT,349,Timp3,2,0.5517241379310345,0.16714284141454205,BICCN_mouse1,m1s6
periph,184777760042552903231069329411943609881,L5_IT,961,Timp3,3,-0.7041666666666667,0.19999913194444455,BICCN_mouse1,m1s1
periph,324358956985742034637564210078022468282,L6b,600,Timp3,1,-0.5258764607679466,0.33444629938786874,BICCN_mouse1,m1s5
periph,324747678378487919580058408310479680514,L6_IT_Car3,1045,Timp3,1,0.9386973180076628,0.3339719029374201,BICCN_mouse1,m1s4
periph,43336158252382016597668647636375267321,L23_IT,877,Timp3,1,0.7374429223744292,0.33409436834094386,BICCN_mouse1,m1s2
periph,313792291863770669954474035513306910916,L6_IT,349,Timp3,1,0.7068965517241379,0.3352490421455939,BICCN_mouse1,m1s5
periph,233738069845789233473043301834546482382,Astro,306,Timp3,13,-0.08852459016393442,0.06446367463943388,BICCN_mouse1,m1s1
periph,180528761576401528386647660824730893516,L6_CT,409,Timp3,1,-0.6568627450980392,0.3349673202614378,BICCN_mouse1,m1s4
periph,307113957815246469056317233147428472980,L6_IT,226,Timp3,2,0.27555555555555555,0.16740082304526754,BICCN_mouse1,m1s2
periph,199138468420993673245093420604780159755,L23_IT,671,Timp3,1,0.2298507462686567,0.3343283582089552,BICCN_mouse1,m1s2
periph,113038141809167617984119237977645750974,L6_CT,376,Timp3,1,-0.5733333333333334,0.33511111111111097,BICCN_mouse1,m1s4
periph,253143797674706316325456735042728348334,L23_IT,218,Timp3,3,0.8986175115207373,0.199983010894264,BICCN_mouse1,m1s4
periph,219593302298422492764519928955571787679,L6_IT_Car3,1439,Timp3,2,0.5591098748261474,0.1667824071835211,BICCN_mouse1,m1s2
periph,46695352557077926237468191744565402196,L23_IT,886,Timp3,1,0.7129943502824859,0.33408662900188346,BICCN_mouse1,m1s5
periph,301097030549126642144230165056997736834,L5_ET,508,Timp3,3,0.5936883629191322,0.19999688775291866,BICCN_mouse1,m1s2
periph,63841686210511727035802057648290474808,Pvalb,712,Timp3,5,0.19549929676511954,0.14245303360295622,BICCN_mouse1,m1s1
periph,272028051770277979599352889824720751529,L6_IT,394,Timp3,1,-0.460559796437659,0.33502968617472473,BICCN_mouse1,m1s4
periph,259231003135140376048065623578401241944,Pvalb,861,Timp3,1,0.7697674418604651,0.334108527131783,BICCN_mouse1,m1s2
periph,256802345407945153545551417325047085911,Lamp5,306,Timp3,5,-0.022950819672131147,0.141908089223327,BICCN_mouse1,m1s3
periph,64079743207992892377866176469301654135,L5_IT,522,Timp3,6,-0.038387715930902115,0.10652196452057193,BICCN_mouse1,m1s4
periph,173112175723285019539416347904736772205,L6_CT,471,Timp3,1,0.8170212765957446,0.3347517730496453,BICCN_mouse1,m1s3
periph,278570564672090059012139929245818631350,L6_CT,415,Timp3,1,-0.4492753623188406,0.3349436392914653,BICCN_mouse1,m1s5
periph,231837587080256287881115141267557749883,L6_CT,252,Timp3,1,-0.043824701195219126,0.33598937583001354,BICCN_mouse1,m1s5
periph,55462235765038892423360110495882177750,Oligo,278,Timp3,1,0.8844765342960289,0.3357400722021659,BICCN_mouse1,m1s6
periph,22670051287692826143925660141859805498,L6_CT,632,Timp3,2,0.09984152139461172,0.1669299604933681,BICCN_mouse1,m1s4
periph,115403261297988562112469357242114105911,OPC,380,Timp3,2,-0.2427440633245383,0.1671040998043735,BICCN_mouse1,m1s3
periph,134907909348338895139558687675233093620,OPC,289,Timp3,5,0.5902777777777778,0.14185130070546728,BICCN_mouse1,m1s4
periph,211697351768427056372611478745067464266,L23_IT,296,Timp3,1,0.905084745762712,0.3355932203389828,BICCN_mouse1,m1s3
